step,phase,x,y,z
445,warmup,-5.842414,1.299056,32.043716
446,warmup,-5.128267,1.522316,31.113321
447,warmup,-4.463209,1.666752,30.205564
448,warmup,-3.850213,1.748524,29.325691
449,warmup,-3.290339,1.782081,28.476351
450,warmup,-2.783097,1.779933,27.658345
451,warmup,-2.326794,1.752625,26.871252
452,warmup,-1.918852,1.708835,26.113905
453,warmup,-1.556083,1.655556,25.384745
454,warmup,-1.234919,1.598305,24.682056
455,warmup,-0.951597,1.541348,24.004130
456,warmup,-0.702303,1.487910,23.349353
457,warmup,-0.483281,1.440369,22.716254
458,warmup,-0.290916,1.400430,22.103526
459,warmup,-0.121782,1.369272,21.510024
460,warmup,0.027324,1.347675,20.934756
461,warmup,0.159359,1.336129,20.376864
462,warmup,0.277036,1.334916,19.835610
463,warmup,0.382824,1.344185,19.310359
464,warmup,0.478960,1.364009,18.800562
465,warmup,0.567465,1.394431,18.305747
466,warmup,0.650162,1.435498,17.825506
467,warmup,0.728695,1.487294,17.359493
468,warmup,0.804555,1.549958,16.907411
469,warmup,0.879095,1.623704,16.469017
470,warmup,0.953556,1.708835,16.044117
471,warmup,1.029084,1.805753,15.632568
472,warmup,1.106751,1.914967,15.234283
473,warmup,1.187573,2.037102,14.849229
474,warmup,1.272525,2.172906,14.477442
475,warmup,1.362563,2.323255,14.119027
476,warmup,1.458633,2.489159,13.774176
477,warmup,1.561685,2.671770,13.443172
478,warmup,1.672694,2.872384,13.126412
479,warmup,1.792663,3.092450,12.824421
480,warmup,1.922642,3.333572,12.537873
481,warmup,2.063735,3.597518,12.267623
482,warmup,2.217113,3.886217,12.014729
483,warmup,2.384023,4.201767,11.780498
484,warmup,2.565798,4.546426,11.566523
485,warmup,2.763861,4.922611,11.374734
486,warmup,2.979736,5.332884,11.207462
487,warmup,3.215050,5.779929,11.067502
488,warmup,3.471538,6.266518,10.958197
489,warmup,3.751036,6.795465,10.883523
490,warmup,4.055479,7.369556,10.848196
491,warmup,4.386887,7.991448,10.857781
492,warmup,4.747343,8.663543,10.918816
493,warmup,5.138963,9.387810,11.038936
494,warmup,5.563848,10.165555,11.227000
495,warmup,6.024018,10.997124,11.493210
496,warmup,6.521329,11.881525,11.849193
497,warmup,7.057349,12.815957,12.308048
498,warmup,7.633209,13.795233,12.884300
499,warmup,8.249412,14.811093,13.593737
500,warmup,8.905580,15.851414,14.453066
501,warmup,9.600163,16.899333,15.479311
502,warmup,10.330080,17.932347,16.688893
503,warmup,11.090307,18.921470,18.096282
504,warmup,11.873423,19.830608,19.712163
505,warmup,12.669142,20.616351,21.541078
506,warmup,13.463863,21.228478,23.578564
507,warmup,14.240324,21.611489,25.807975
508,warmup,14.977441,21.707526,28.197308
509,warmup,15.650449,21.460899,30.696612
510,warmup,16.231494,20.824258,33.236763
511,warmup,16.690771,19.766011,35.730537
512,warmup,16.998295,18.278064,38.076823
513,warmup,17.126272,16.382396,40.168400
514,warmup,17.051884,14.134578,41.902936
515,warmup,16.760153,11.622520,43.195736
516,warmup,16.246390,8.959466,43.991802
517,warmup,15.517698,6.271781,44.274277
518,warmup,14.593106,3.683670,44.066866
519,warmup,13.502162,1.302179,43.429311
520,warmup,12.282164,-0.794134,42.447019
521,warmup,10.974534,-2.560599,41.217561
522,warmup,9.621021,-3.985559,39.837413
523,warmup,8.260363,-5.084583,38.391630
524,warmup,6.925868,-5.892124,36.947848
525,warmup,5.644069,-6.452919,35.554492
526,warmup,4.434370,-6.814770,34.242165
527,warmup,3.309456,-7.023423,33.026848
528,warmup,2.276168,-7.119550,31.913695
529,warmup,1.336596,-7.137437,30.900610
530,warmup,0.489193,-7.104832,29.981195
531,warmup,-0.270209,-7.043476,29.146940
532,warmup,-0.947536,-6.969942,28.388721
533,warmup,-1.549777,-6.896559,27.697731
534,warmup,-2.084455,-6.832278,27.066006
535,warmup,-2.559237,-6.783424,26.486662
536,warmup,-2.981656,-6.754320,25.953954
537,warmup,-3.358922,-6.747782,25.463240
538,warmup,-3.697808,-6.765512,25.010873
539,warmup,-4.004579,-6.808390,24.594092
540,warmup,-4.284960,-6.876698,24.210897
541,warmup,-4.544134,-6.970293,23.859936
542,warmup,-4.786749,-7.088720,23.540411
543,warmup,-5.016947,-7.231302,23.251986
544,warmup,-5.238382,-7.397194,22.994723
545,warmup,-5.454263,-7.585418,22.769024
546,warmup,-5.667379,-7.794875,22.575579
547,warmup,-5.880128,-8.024348,22.415328
548,warmup,-6.094550,-8.272491,22.289428
549,warmup,-6.312344,-8.537800,22.199215
550,warmup,-6.534890,-8.818587,22.146171
551,warmup,-6.763260,-9.112943,22.131891
552,warmup,-6.998228,-9.418689,22.158039
553,warmup,-7.240274,-9.733335,22.226300
554,warmup,-7.489580,-10.054034,22.338319
555,warmup,-7.746025,-10.377530,22.495635
556,warmup,-8.009176,-10.700124,22.699597
557,warmup,-8.278271,-11.017641,22.951267
558,warmup,-8.552208,-11.325412,23.251303
559,warmup,-8.829528,-11.618277,23.599841
560,warmup,-9.108403,-11.890607,23.996351
561,warmup,-9.386623,-12.136370,24.439493
562,warmup,-9.661598,-12.349217,24.926968
563,warmup,-9.930360,-12.522629,25.455381
564,warmup,-10.189587,-12.650093,26.020113
565,warmup,-10.435638,-12.725334,26.615235
566,warmup,-10.664607,-12.742590,27.233465
567,warmup,-10.872405,-12.696912,27.866187
568,warmup,-11.054856,-12.584492,28.503548
569,warmup,-11.207820,-12.402980,29.134651
570,warmup,-11.327336,-12.151781,29.747831
571,warmup,-11.409780,-11.832280,30.331028
572,warmup,-11.452030,-11.447992,30.872238
573,warmup,-11.451626,-11.004583,31.360006
574,warmup,-11.406922,-10.509762,31.783943
575,warmup,-11.317206,-9.973033,32.135211
576,warmup,-11.182789,-9.405312,32.406941
577,warmup,-11.005041,-8.818440,32.594532
578,warmup,-10.786381,-8.224625,32.695817
579,warmup,-10.530205,-7.635870,32.711068
580,warmup,-10.240772,-7.063426,32.642846
581,warmup,-9.923037,-6.517329,32.495719
582,warmup,-9.582466,-6.006044,32.275884
583,warmup,-9.224824,-5.536248,31.990721
584,warmup,-8.855967,-5.112749,31.648344
585,warmup,-8.481645,-4.738525,31.257171
586,warmup,-8.107333,-4.414878,30.825552
587,warmup,-7.738087,-4.141652,30.361466
588,warmup,-7.378444,-3.917504,29.872312
589,warmup,-7.032350,-3.740181,29.364767
590,warmup,-6.703133,-3.606804,28.844730
591,warmup,-6.393500,-3.514113,28.317306
592,warmup,-6.105561,-3.458685,27.786852
593,warmup,-5.840874,-3.437112,27.257042
594,warmup,-5.600497,-3.446136,26.730945
595,warmup,-5.385061,-3.482748,26.211120
596,warmup,-5.194830,-3.544253,25.699705
597,warmup,-5.029772,-3.628307,25.198497
598,warmup,-4.889626,-3.732933,24.709033
599,warmup,-4.773956,-3.856519,24.232652
600,warmup,-4.682213,-3.997806,23.770556
601,warmup,-4.613772,-4.155859,23.323861
602,warmup,-4.567981,-4.330047,22.893633
603,warmup,-4.544187,-4.520004,22.480932
604,warmup,-4.541769,-4.725601,22.086838
605,warmup,-4.560152,-4.946907,21.712481
606,warmup,-4.598828,-5.184159,21.359068
607,warmup,-4.657361,-5.437722,21.027904
608,warmup,-4.735397,-5.708061,20.720414
609,warmup,-4.832663,-5.995697,20.438169
610,warmup,-4.948967,-6.301178,20.182903
611,warmup,-5.084188,-6.625032,19.956535
612,warmup,-5.238272,-6.967726,19.761190
613,warmup,-5.411218,-7.329620,19.599214
614,warmup,-5.603058,-7.710909,19.473190
615,warmup,-5.813843,-8.111562,19.385951
616,warmup,-6.043615,-8.531254,19.340586
617,warmup,-6.292379,-8.969283,19.340433
618,warmup,-6.560069,-9.424483,19.389070
619,warmup,-6.846511,-9.895121,19.490280
620,warmup,-7.151372,-10.378789,19.648010
621,warmup,-7.474113,-10.872283,19.866289
622,warmup,-7.813930,-11.371483,20.149128
623,warmup,-8.169685,-11.871229,20.500377
624,warmup,-8.539840,-12.365213,20.923543
625,warmup,-8.922377,-12.845879,21.421551
626,warmup,-9.314727,-13.304374,21.996467
627,warmup,-9.713692,-13.730543,22.649161
628,warmup,-10.115377,-14.113001,23.378926
629,warmup,-10.515139,-14.439310,24.183071
630,warmup,-10.907557,-14.696273,25.056503
631,warmup,-11.286428,-14.870374,25.991334
632,warmup,-11.644823,-14.948376,26.976566
