step,phase,x,y,z
527,warmup,-5.002649,-7.360885,19.383059
528,warmup,-5.238473,-7.718351,19.234416
529,warmup,-5.486460,-8.100350,19.125822
530,warmup,-5.747849,-8.506225,19.060223
531,warmup,-6.023687,-8.935008,19.040875
532,warmup,-6.314819,-9.385327,19.071336
533,warmup,-6.621870,-9.855303,19.155433
534,warmup,-6.945213,-10.342426,19.297227
535,warmup,-7.284934,-10.843428,19.500938
536,warmup,-7.640784,-11.354145,19.770849
537,warmup,-8.012120,-11.869375,20.111172
538,warmup,-8.397845,-12.382743,20.525863
539,warmup,-8.796335,-12.886582,21.018390
540,warmup,-9.205360,-13.371842,21.591447
541,warmup,-9.622008,-13.828054,22.246601
542,warmup,-10.042613,-14.243366,22.983895
543,warmup,-10.462688,-14.604681,23.801397
544,warmup,-10.876887,-14.897921,24.694735
545,warmup,-11.278991,-15.108451,25.656639
546,warmup,-11.661937,-15.221674,26.676543
547,warmup,-12.017910,-15.223798,27.740310
548,warmup,-12.338499,-15.102769,28.830151
549,warmup,-12.614926,-14.849314,29.924802
550,warmup,-12.838365,-14.458008,31.000038
551,warmup,-13.000329,-13.928272,32.029542
552,warmup,-13.093124,-13.265136,32.986142
553,warmup,-13.110325,-12.479643,33.843332
554,warmup,-13.047257,-11.588766,34.576965
555,warmup,-12.901408,-10.614765,35.166929
556,warmup,-12.672743,-9.583983,35.598598
557,warmup,-12.363867,-8.525192,35.863856
558,warmup,-11.980000,-7.467664,35.961530
559,warmup,-11.528766,-6.439196,35.897182
560,warmup,-11.019809,-5.464356,35.682283
561,warmup,-10.464264,-4.563140,35.332917
562,warmup,-9.874151,-3.750173,34.868205
563,warmup,-9.261754,-3.034494,34.308684
564,warmup,-8.639028,-2.419854,33.674833
565,warmup,-8.017110,-1.905405,32.985889
566,warmup,-7.405940,-1.486627,32.259024
567,warmup,-6.814008,-1.156340,31.508882
568,warmup,-6.248242,-0.905681,30.747438
569,warmup,-5.713986,-0.724958,29.984096
570,warmup,-5.215083,-0.604337,29.225944
571,warmup,-4.754008,-0.534360,28.478102
572,warmup,-4.332043,-0.506287,27.744090
573,warmup,-3.949468,-0.512310,27.026180
574,warmup,-3.605752,-0.545648,26.325715
575,warmup,-3.299742,-0.600562,25.643371
576,warmup,-3.029824,-0.672319,24.979365
577,warmup,-2.794073,-0.757116,24.333618
578,warmup,-2.590377,-0.851986,23.705876
579,warmup,-2.416538,-0.954700,23.095789
580,warmup,-2.270354,-1.063665,22.502972
581,warmup,-2.149686,-1.177831,21.927042
582,warmup,-2.052500,-1.296602,21.367640
583,warmup,-1.976910,-1.419765,20.824449
584,warmup,-1.921196,-1.547422,20.297198
585,warmup,-1.883818,-1.679933,19.785669
586,warmup,-1.863430,-1.817877,19.289698
587,warmup,-1.858875,-1.962009,18.809181
588,warmup,-1.869188,-2.113234,18.344074
